Time_s,Net_Produce_MW
886500,-25.065274
887400,-25.062179
888300,-25.149943
889200,-55.789831
890100,-55.890253
891000,-55.883353
891900,-56.079047
892800,-59.21174
893700,-59.322474
894600,-59.314866
895500,-59.530656
896400,-57.825619
897300,-57.933859
898200,-57.926421
899100,-58.137349
900000,-39.886861
900900,-39.962811
901800,-39.957592
902700,-42.413016
903600,-31.636815
904500,-31.693761
905400,-31.689848
906300,-31.80082
907200,-25.563006
908100,-25.60902
909000,-25.605858
909900,-25.695525
910800,-26.499766
911700,-26.547465
912600,-26.544188
913500,-26.637141
914400,-25.509449
915300,-25.555366
916200,-25.552211
917100,-25.64169
918000,-30.635708
918900,-30.690853
919800,-30.687063
920700,-30.794524
921600,-40.32655
922500,-40.403291
923400,-40.398018
924300,-40.547565
925200,-52.275461
926100,-52.37371
927000,-52.366959
927900,-52.558419
928800,-56.974994
929700,-57.081702
930600,-59.381789
931500,-59.589733
932400,-52.95943
933300,-50.747338
934200,-50.740788
935100,-48.46536
936000,-25.14127
936900,-25.199824
937800,-25.1958
938700,-25.309905
939600,-12.092783
940500,-14.747774
941400,-14.745365
942300,-17.274892
943200,-6.231194
944100,-6.242411
945000,-6.24164
945900,-6.263497
946800,-3.254474
947700,-3.260332
948600,-3.25993
949500,-3.271345
950400,-3.002618
951300,-3.008023
952200,-3.007651
953100,-3.018183
954000,-2.776225
954900,-2.781222
955800,-2.780879
956700,-2.790617
957600,-2.906785
958500,-2.912017
959400,-0.604238
960300,-0.614434
961200,1.861458
962100,1.856225
963000,1.856584
963900,1.846387
964800,1.852603
965700,1.847354
966600,1.847715
967500,1.837487
968400,1.757173
969300,1.747036
970200,1.747733
971100,4.5116
972000,-12.329881
972900,-9.418112
973800,-2.984978
974700,0.42409
975600,-19.585558
976500,-19.675873
977400,-19.669667
978300,-19.845665
979200,-24.738249
980100,-20.769472
981000,-16.490885
981900,-12.204876
982800,-10.671445
983700,-6.075412
984600,-1.157086
985500,3.788071
986400,20.201712
987300,25.49644
988200,31.097308
989100,36.798474
990000,52.567423
990900,52.516208
991800,58.845082
992700,65.323616
993600,77.769893
994500,84.827691
995400,92.197577
996300,99.756799
997200,106.951151
998100,98.990604
999000,98.993551
999900,91.270089
1000800,84.917241
1001700,92.242987
1002600,99.88569
1003500,99.805216
1004400,103.231476
1005300,103.181882
1006200,103.18529
1007100,103.088645
1008000,92.440798
1008900,92.371781
1009800,92.376523
1010700,84.32438
1011600,73.776855
1012500,66.048629
1013400,66.054701
1014300,58.515469
1015200,47.444227
1016100,40.51198
1017000,33.940237
1017900,27.427867
1018800,33.390853
1019700,27.227786
1020600,21.399403
1021500,15.63616
1022400,28.89349
1023300,28.840829
1024200,28.844448
1025100,28.741827
1026000,35.493837
1026900,35.4623
1027800,35.464467
1028700,35.40301
1029600,47.410383
1030500,42.488659
1031400,42.489352
1032300,37.776316
1033200,36.00241
1034100,35.997142
1035000,35.997504
1035900,35.987237
1036800,24.069083
1037700,24.064313
1038600,24.06464
1039500,24.055344
1040400,24.268903
1041300,24.264493
1042200,24.264796
1043100,24.256201
1044000,24.153668
1044900,24.14905
1045800,20.472873
1046700,20.463874
1047600,20.476848
1048500,24.148723
1049400,28.01899
1050300,32.078356
1051200,36.355586
1052100,36.350954
1053000,36.351272
1053900,40.822325
1054800,38.439023
1055700,43.123455
1056600,48.035707
1057500,53.153128
1058400,38.288391
1059300,49.21185
1060200,61.125915
1061100,73.959941
1062000,63.573662
1062900,70.86099
1063800,78.506333
1064700,78.350992
1065600,81.950316
1066500,81.862416
1067400,81.868456
1068300,81.697163
1069200,83.050609
1070100,82.964689
1071000,91.170985
1071900,99.491648
1072800,113.978762
1073700,122.699233
1074600,141.162732
1075500,150.733763
1076400,169.288862
1077300,179.562146
1078200,190.206168
1079100,190.118079
1080000,206.037917
1080900,206.001391
1081800,206.003901
1082700,217.233375
1083600,216.594974
1084500,216.557111
1085400,216.559712
1086300,216.485927
1087200,217.381081
1088100,228.982593
1089000,228.985097
1089900,228.914069
1090800,224.949851
1091700,224.906078
1092600,224.909086
1093500,236.804011
1094400,227.40594
1095300,227.345023
1096200,227.349209
1097100,227.2305
1098000,217.920976
1098900,217.842986
1099800,230.175802
1100700,230.023822
1101600,239.197621
1102500,239.112916
1103400,239.118737
1104300,226.274026
1105200,231.537116
1106100,231.461446
1107000,231.466645
1107900,218.991729
1108800,235.426555
1109700,235.380076
1110600,223.403043
1111500,211.674507
1112400,222.166169
1113300,210.837683
1114200,199.871293
1115100,189.176133
1116000,199.774159
1116900,189.446768
1117800,179.446356
1118700,179.429006
1119600,172.129032
1120500,172.124382
1121400,172.124702
1122300,172.11564
1123200,153.764939
1124100,144.9797
1125000,144.980008
1125900,144.971281
1126800,145.171779
1127700,145.167638
1128600,136.679827
1129500,136.671757
1130400,136.575495
1131300,136.571159
1132200,136.571457
1133100,128.362616
1134000,128.374797
1134900,128.37046
1135800,120.45311
1136700,120.44466
1137600,112.809946
1138500,112.805597
1139400,105.438854
1140300,105.430378
1141200,103.192827
1142100,103.184427
1143000,103.185005
1143900,103.168636
1144800,82.113775
1145700,82.080212
1146600,82.082518
1147500,82.017113
1148400,59.182777
1149300,59.107938
1150200,59.11308
1151100,58.96724
1152000,54.913004
1152900,54.830479
1153800,54.836149
1154700,61.774512
1155600,63.045188
1156500,62.964523
1157400,62.970065
1158300,62.812872
1159200,76.414023
1160100,83.724464
1161000,83.728353
1161900,83.618053
1162800,99.288867
1163700,91.606563
1164600,91.609479
1165500,84.159735
1166400,88.808457
1167300,81.674986
1168200,81.677342
1169100,74.77424
1170000,74.174881
1170900,61.235641
1171800,49.326475
1172700,38.297993
1173600,29.091911
1174500,15.612487
1175400,7.676523
1176300,0.445346999999998
1177200,-9.70679
1178100,-12.700159
1179000,-12.697335
1179900,-15.56104
1180800,-24.38437
1181700,-27.061487
1182600,-27.057557
1183500,-27.169006
1184400,-35.909205
1185300,-35.982425
1186200,-35.977394
1187100,-38.581272
1188000,-41.872718
1188900,-41.952243
1189800,-44.254198
1190700,-44.409168
1191600,-39.467943
1192500,-39.538986
1193400,-39.534104
1194300,-39.672546
1195200,-24.242794
1196100,-24.286432
1197000,-24.283433
1197900,-24.368469
1198800,-14.518427
1199700,-14.54456
1200600,-14.542764
1201500,-14.593691
1202400,-4.643789
1203300,-4.652148
1204200,-4.651574
1205100,-4.667863
1206000,-2.425393
1206900,-2.429758
1207800,-2.429458
